strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-バランス(+ETF),JAZZ,2025-11-19,2025-12-04,180.39999389648438,165.968,-8.0,11,3700.5
V2-バランス(+ETF),CSCO,2025-11-14,2026-01-02,76.1723987501449,75.9368,-0.31,33,3627.65
V2-バランス(+ETF),GH,2025-10-31,2026-01-05,91.38999938964844,99.8807,9.29,44,3615.97
V2-バランス(+ETF),RVMD,2025-11-17,2026-01-07,67.6500015258789,80.95,19.66,35,3702.14
V2-バランス(+ETF),RVMD,2026-01-08,2026-01-08,95.20999908447266,94.9583,-0.26,1,3844.66
V2-バランス(+ETF),RVMD,2026-01-09,2026-01-09,120.0,110.4,-8.0,1,3844.89
V2-バランス(+ETF),ARWR,2025-12-04,2026-01-20,64.4000015258789,62.0,-3.73,31,3701.9
V2-バランス(+ETF),RVMD,2026-01-12,2026-01-26,116.81999969482422,93.5,-19.96,10,3786.92
V2-バランス(+ETF),DG,2025-12-05,2026-01-30,124.65834539472684,140.11,12.4,38,3644.4
V2-バランス(+ETF),ZM,2026-01-27,2026-02-03,96.75,89.01,-8.0,6,3621.22
V2-バランス(+ETF),FTAI,2026-01-05,2026-02-04,212.67999267578125,267.2478,25.66,22,3643.49
V2-バランス(+ETF),QGEN,2026-01-21,2026-02-05,54.11000061035156,49.91,-7.76,12,3756.94
V2-バランス(+ETF),SNDK,2026-02-02,2026-02-09,588.8099975585938,555.2072,-5.71,6,3712.46
V2-低リスク(+ETF),GS,2020-12-22,2021-01-25,226.8975752551599,250.0252,10.19,22,760.98
V2-低リスク(+ETF),NKE,2020-12-22,2021-01-25,132.33408167161826,126.9218,-4.09,22,760.98
V2-低リスク(+ETF),GME,2021-01-26,2021-01-26,22.139999389648438,22.14,0.0,1,776.11
V2-低リスク(+ETF),PSTG,2020-12-07,2021-01-27,20.969999313354492,21.9435,4.64,35,779.81
V2-低リスク(+ETF),IRM,2021-01-26,2021-01-27,26.053581523916723,27.3421,4.95,2,776.11
V2-低リスク(+ETF),GME,2021-01-27,2021-01-27,88.7074966430664,81.6109,-8.0,1,776.25
V2-低リスク(+ETF),GME,2021-01-28,2021-01-28,66.25,66.25,0.0,1,768.73
V2-低リスク(+ETF),WBD,2021-01-28,2021-01-29,43.58000183105469,40.0936,-8.0,2,768.73
V2-低リスク(+ETF),IRM,2021-01-28,2021-02-02,29.051971384990622,26.7278,-8.0,4,768.73
V2-低リスク(+ETF),PTC,2021-01-29,2021-03-03,137.6699981689453,133.3547,-3.13,23,770.21
V2-低リスク(+ETF),WAT,2021-02-03,2021-03-03,289.6600036621094,270.5347,-6.6,20,754.24
V2-低リスク(+ETF),SWKS,2021-02-01,2021-03-04,151.3518126508916,150.1548,-0.79,23,751.41
V2-低リスク(+ETF),PR,2021-03-04,2021-03-17,4.090594065480417,3.9592,-3.21,10,749.35
V2-低リスク(+ETF),FANG,2021-03-05,2021-03-18,67.98387009754119,62.5452,-8.0,10,750.51
