Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
MRVL,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,0,1
IOT,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,0,1
CYTK,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
ARWR,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,0,1
DELL,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
GAP,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
RNA,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
CRDO,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
BROS,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
SANM,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
INTC,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
HL,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
CDE,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
MKSI,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,1,0
SNDK,1,0,1,0.0,-8.0,-8.0,-8.0,-8.0,1,0,0,0,1
CEG,2,0,2,0.0,-4.05,-8.11,-0.91,-7.2,1,0,1,2,0
BPOP,2,0,2,0.0,-4.28,-8.56,-3.35,-5.21,2,0,0,1,1
SWKS,3,0,3,33.3,-2.86,-8.58,6.55,-8.0,2,1,0,0,3
SJM,2,0,2,0.0,-4.31,-8.63,-3.01,-5.62,2,0,0,0,2
KTOS,5,2,3,40.0,-1.82,-9.1,9.0,-8.0,2,1,0,3,2
NET,2,0,2,0.0,-4.68,-9.36,-1.36,-8.0,1,0,0,2,0
OLLI,2,0,2,0.0,-4.7,-9.4,-1.44,-7.96,1,0,1,1,1
ACGL,2,0,2,0.0,-4.76,-9.53,-4.35,-5.18,2,0,0,0,2
LNG,2,0,2,0.0,-4.79,-9.59,-3.93,-5.66,2,0,0,0,2
AFRM,1,0,1,0.0,-9.68,-9.68,-9.68,-9.68,1,0,0,1,0
TT,4,2,2,50.0,-2.43,-9.74,1.35,-7.31,2,1,0,0,4
RVTY,5,2,3,40.0,-2.0,-9.98,3.43,-5.35,3,1,0,0,5
SNPS,2,0,2,0.0,-5.37,-10.73,-5.2,-5.53,2,0,0,1,1
HSY,3,0,3,0.0,-3.62,-10.86,-2.41,-5.43,3,0,0,1,2
TYL,2,0,2,0.0,-5.62,-11.24,-4.62,-6.62,2,0,0,0,2
TTWO,2,0,2,0.0,-5.69,-11.37,-5.32,-6.05,2,0,0,0,2
SLAB,3,0,3,33.3,-3.79,-11.37,2.46,-7.87,2,1,0,1,2
TOL,3,0,3,33.3,-3.89,-11.66,3.29,-9.19,2,0,0,0,3
